Establishment,Visited,Entered,Bought Cat,Tried to Adopt Cat,Adopted Cat,Bought Stuff,Donated,Surrendered Cat,Cats Sold/Adopted,Total Profit,Profit from Cats,Profit from Stuff,Profit from Donations,Profit from Supplying,Unmet Demand,Total Costs,Breeding Care Costs,Restocking Costs,Total Rent,Misc Operational Costs,Basic Care Cost,Total Vet Cost,Cats Spawned to Abandon,Cats Transferred to Box,Euthanised after Vetting,Remaining Healthy Cats,Remaining Vulnerable Cats,Cats Rejected from Shelter,Cats Claimed from AFCD,Cats Claimed from SPCA,Final Cats in Shelter,Final Healthy Cats,Final Vulnerable Cats,Basic Checkup Cost,Vulnerable Care Cost,Vetting Cost,Euthanasia Cost,Final Net Income,Final Net Income Per Place,Total Cats Killed (everyone)
Pet shop,1821235,949588,15209,0,0,277582,0,0,15209,396755170,380225000,16530170,0,0,0,570296785.0,0,121672000,73000000.0,365000000,9125000,1499785,0,0,0,0,0,0,0,0,0,0,0,1499785,0,0,0,-173541615.0,-867708.0750000007,7167
SPCA,423367,35338,0,2600,1590,10853,8417,663,1590,6171591,1336664,647614,4187313,0,0,21432636.0,0,0,3467500.0,14600000,103425,3261711,5341,6004,429,2825,2750,1243,1040,0,4137,2902,1235,16806,28405,3002000,214500,-15261045.0,-15261045.0,7167
LAP,138402,15519,0,1124,686,4438,3020,241,686,2806537,1029000,261215,1516322,0,0,6271527.0,0,0,1387000.0,2920000,64825,1899702,3458,3699,0,2042,1657,847,230,147,2593,865,1728,10458,39744,1849500,0,-3464990.0,-3464990.0,7167
Ethical breeder,287829,39783,1460,0,0,0,0,0,1460,29200000,29200000,0,0,0,4306,14109075.0,5840000,0,0.0,3650000,3996750,622325,0,0,0,0,0,0,0,0,0,0,0,622325,0,0,0,15090925.0,150909.2499999999,7167
Unethical breeder,249167,29752,3890,0,0,0,0,0,3890,199472000,77800000,0,0,121672000,0,107224985.0,57297000,0,18250000.0,27375000,3878125,424860,0,0,0,0,0,0,0,0,0,0,0,424860,0,0,0,92247015.0,3689880.599999983,7167
AFCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22460233.0,0,0,730000.0,14600000,91100,7039133,10866,10866,3094,3966,3806,0,0,0,3644,1073,2571,0,59133,5433000,1547000,-22460233.0,-22460233.0,7167
Other charities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2858,540,4245,1887,1511,0,0,0,0,0.0,0.0,7167
