Establishment,Visited,Entered,Bought Cat,Tried to Adopt Cat,Adopted Cat,Bought Stuff,Donated,Abandoned Cat,Cats Sold/Adopted,Total Profit,Profit from Cats,Profit from Stuff,Profit from Donations,Profit from Supplying,Unmet Demand,Total Costs,Breeding Care Costs,Restocking Costs,Total Rent,Misc Operational Costs,Basic Care Cost,Total Vet Cost,Cats Spawned to Abandon,Cats Transferred to Box,Euthanised after Vetting,Remaining Healthy Cats,Remaining Vulnerable Cats,Cats Rejected from Shelter,Final Cats in Shelter,Final Healthy Cats,Final Vulnerable Cats,Basic Checkup Cost,Vulnerable Care Cost,Vetting Cost,Euthanasia Cost,Final Net Income,Final Net Income Per Place,Total Cats Killed
Pet shop,1667608,633253,7754,0,0,315578,0,0,7754,354937440,193850000,161087440,0,0,0,510656785.0,0,62032000,73000000.0,365000000,9125000,1499785,0,0,0,0,0,0,0,0,0,1499785,0,0,0,-155719345.0,-778596.7249999996,11014
SPCA,570823,41388,0,5499,3425,20702,22838,789,3425,17822358,5137500,1241303,11443555,0,0,23396700.0,0,0,3467500.0,14600000,290250,5038950,7046,9111,672,4146,3504,1603,8185,6889,2741,47538,99912,4555500,336000,-5574342.0,-5574342.0,11014
LAP,232208,22820,0,2842,1694,10980,11780,427,1694,9111766,2541000,655564,5915202,0,0,11087967.0,0,0,1387000.0,7300000,220175,2180792,3486,4100,0,1921,1752,777,7113,2119,4121,36009,94783,2050000,0,-1976201.0,-1976201.0,11014
Ethical breeder,333493,19784,1410,0,0,0,0,0,1410,28200000,28200000,0,0,0,1077,13699200.0,5640000,0,0.0,3650000,3786875,622325,0,0,0,0,0,0,0,0,0,622325,0,0,0,14500800.0,145007.99999999974,11014
Unethical breeder,115868,8732,1093,0,0,0,0,0,1093,83892000,21860000,0,0,62032000,0,76468985.0,26541000,0,18250000.0,27375000,3878125,424860,7117,0,0,0,0,0,0,0,0,424860,0,0,0,7423015.0,296920.6000000006,11014
AFCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25116305.0,0,0,730000.0,14600000,150975,9635330,8962,14889,4303,5667,4919,0,6039,2726,3313,0,39330,7444500,2151500,-25116305.0,-25116305.0,11014
