Establishment;Visited;Entered;Bought Cat;Tried to Adopt Cat;Adopted Cat;Bought Stuff;Donated;Surrendered Cat;Cats Sold/Adopted;Total Profit;Profit from Cats;Profit from Stuff;Profit from Donations;Profit from Supplying;Unmet Demand;Total Costs;Breeding Care Costs;Restocking Costs;Total Rent;Misc Operational Costs;Basic Care Cost;Total Vet Cost;Cats Spawned to Abandon;Cats Transferred to Box;Euthanised after Vetting;Remaining Healthy Cats;Remaining Vulnerable Cats;Cats Rejected from Shelter;Cats Claimed from AFCD;Cats Claimed from SPCA;Final Cats in Shelter;Final Healthy Cats;Final Vulnerable Cats;Basic Checkup Cost;Vulnerable Care Cost;Vetting Cost;Euthanasia Cost;Final Net Income;Final Net Income Per Place;Total Cats Killed (everyone)
Pet shop;429108;217024;3271;0;0;63896;0;0;3271;85589611;81775000;3814611;0;0;0;136787810;0;26168000;18000000;90000000;2250000;369810;0;0;0;0;0;0;0;0;0;0;0;369810;0;0;0;-51198199;-255990.995;2071
SPCA;121729;10185;0;758;473;3167;2575;150;473;1871504;399744;187283;1284477;0;0;5318622;0;0;855000;3600000;27025;836597;1338;1534;115;704;715;303;352;0;1081;746;335;4392;7705;767000;57500;-3447118;-3447118;2071
LAP;41479;4557;0;344;204;1327;954;69;204;847618;306000;78833;462785;0;0;1700521;0;0;342000;720000;20675;617846;886;1203;0;638;565;271;70;30;827;262;565;3351;12995;601500;0;-852903;-852903;2071
Ethical breeder;74186;9314;360;0;0;0;0;0;360;7200000;7200000;0;0;0;920;3478950;1440000;0;0;900000;985500;153450;0;0;0;0;0;0;0;0;0;0;0;153450;0;0;0;3721050;37210.5;2071
Unethical breeder;53498;6359;851;0;0;0;0;0;851;43188000;17020000;0;0;26168000;0;24677010;12366000;0;4500000;6750000;956250;104760;2263;0;0;0;0;0;0;0;0;0;0;104760;0;0;0;18510990;740439.599999999;2071
AFCD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5916503;0;0;180000;3600000;25650;2110853;1357;3259;930;1236;1093;0;0;0;1026;315;711;0;16353;1629500;465000;-5916503;-5916503;2071
Other charities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881;129;1281;592;418;0;0;0;0;0;0;2071
