Establishment,Visited,Entered,Bought Cat,Tried to Adopt Cat,Adopted Cat,Bought Stuff,Donated,Abandoned Cat,Cats Sold/Adopted,Total Profit,Profit from Cats,Profit from Stuff,Profit from Donations,Profit from Supplying,Unmet Demand,Total Costs,Breeding Care Costs,Restocking Costs,Total Rent,Misc Operational Costs,Basic Care Cost,Total Vet Cost,Cats Spawned to Abandon,Cats Transferred to Box,Euthanised after Vetting,Remaining Healthy Cats,Remaining Vulnerable Cats,Cats Rejected from Shelter,Final Cats in Shelter,Final Healthy Cats,Final Vulnerable Cats,Basic Checkup Cost,Vulnerable Care Cost,Vetting Cost,Euthanasia Cost,Final Net Income,Final Net Income Per Place,Total Cats Killed
Pet shop,136644,51618,616,0,0,25599,0,0,616,28468004,15400000,13068004,0,0,0,41801270.0,0,4928000,6000000.0,30000000,750000,123270,0,0,0,0,0,0,0,0,0,123270,0,0,0,-13333266.0,-66666.33,906
SPCA,47067,3367,0,437,271,1637,1887,74,271,1436953,406500,98409,932044,0,0,1939832.0,0,0,285000.0,1200000,24150,430682,606,782,56,384,268,135,695,608,201,3954,7728,391000,28000,-502879.0,-502879.0,906
LAP,19107,1834,0,215,142,898,925,39,142,729622,213000,54513,462109,0,0,923825.0,0,0,114000.0,600000,18575,191250,308,360,0,155,166,60,601,175,357,3039,8211,180000,0,-194203.0,-194203.0,906
Ethical breeder,27682,1643,118,0,0,0,0,0,118,2360000,2360000,0,0,0,104,1134400.0,472000,0,0.0,300000,311250,51150,0,0,0,0,0,0,0,0,0,51150,0,0,0,1225600.0,12256.000000000005,906
Unethical breeder,9500,717,87,0,0,0,0,0,87,6668000,1740000,0,0,4928000,0,6212670.0,2109000,0,1500000.0,2250000,318750,34920,578,0,0,0,0,0,0,0,0,34920,0,0,0,455330.0,18213.200000000008,906
AFCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061168.0,0,0,60000.0,1200000,12425,788743,736,1218,353,465,400,0,497,221,276,0,3243,609000,176500,-2061168.0,-2061168.0,906
