Establishment,Visited,Entered,Bought Cat,Tried to Adopt Cat,Adopted Cat,Bought Stuff,Donated,Surrendered Cat,Cats Sold/Adopted,Total Profit,Profit from Cats,Profit from Stuff,Profit from Donations,Profit from Supplying,Unmet Demand,Total Costs,Breeding Care Costs,Restocking Costs,Total Rent,Misc Operational Costs,Basic Care Cost,Total Vet Cost,Cats Spawned to Abandon,Cats Transferred to Box,Euthanised after Vetting,Remaining Healthy Cats,Remaining Vulnerable Cats,Cats Rejected from Shelter,Cats Claimed from AFCD,Cats Claimed from SPCA,Final Cats in Shelter,Final Healthy Cats,Final Vulnerable Cats,Basic Checkup Cost,Vulnerable Care Cost,Vetting Cost,Euthanasia Cost,Final Net Income,Final Net Income Per Place,Total Cats Killed (everyone)
Pet shop,449490,234079,3718,0,0,68527,0,0,3718,97021303,92950000,4071303,0,0,0,140363810.0,0,29744000,18000000.0,90000000,2250000,369810,0,0,0,0,0,0,0,0,0,0,0,369810,0,0,0,-43342507.0,-216712.53500000003,2160
SPCA,103977,8644,0,631,370,2640,2035,146,370,1469235,306983,159906,1002346,0,0,5278921.0,0,0,855000.0,3600000,27300,796621,1272,1464,105,712,647,280,295,0,1092,758,334,4439,7682,732000,52500,-3809686.0,-3809686.0,2160
LAP,34406,3873,0,274,154,1146,767,54,154,669927,231000,69302,369625,0,0,1689711.0,0,0,342000.0,720000,22175,605536,863,1176,0,630,546,277,98,29,887,281,606,3598,13938,588000,0,-1019784.0,-1019784.0,2160
Ethical breeder,70863,9909,360,0,0,0,0,0,360,7200000,7200000,0,0,0,1052,3478950.0,1440000,0,0.0,900000,985500,153450,0,0,0,0,0,0,0,0,0,0,0,153450,0,0,0,3721050.0,37210.50000000001,2160
Unethical breeder,61264,7318,928,0,0,0,0,0,928,48304000,18560000,0,0,29744000,0,26249010.0,13938000,0,4500000.0,6750000,956250,104760,2342,0,0,0,0,0,0,0,0,0,0,104760,0,0,0,22054990.0,882199.599999998,2160
AFCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5945683.0,0,0,180000.0,3600000,27725,2137958,1321,3291,946,1001,1344,0,0,0,1109,263,846,0,19458,1645500,473000,-5945683.0,-5945683.0,2160
Other charities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,843,124,1244,477,490,0,0,0,0,0.0,0.0,2160
