Establishment;Visited;Entered;Bought Cat;Tried to Adopt Cat;Adopted Cat;Bought Stuff;Donated;Surrendered Cat;Cats Sold/Adopted;Total Profit;Profit from Cats;Profit from Stuff;Profit from Donations;Profit from Supplying;Unmet Demand;Total Costs;Breeding Care Costs;Restocking Costs;Total Rent;Misc Operational Costs;Basic Care Cost;Total Vet Cost;Cats Spawned to Abandon;Cats Transferred to Box;Euthanised after Vetting;Remaining Healthy Cats;Remaining Vulnerable Cats;Cats Rejected from Shelter;Cats Claimed from AFCD;Cats Claimed from SPCA;Final Cats in Shelter;Final Healthy Cats;Final Vulnerable Cats;Basic Checkup Cost;Vulnerable Care Cost;Vetting Cost;Euthanasia Cost;Final Net Income;Final Net Income Per Place;Total Cats Killed (everyone)
Pet shop;1821228;949956;15374;0;0;279099;0;0;15374;400948994;384350000;16598994;0;0;0;571616785;0;122992000;73000000;365000000;9125000;1499785;0;0;0;0;0;0;0;0;0;0;0;1499785;0;0;0;-170667791;-853338.955;8874
SPCA;422866;35491;0;2491;1507;10687;8281;607;1507;6079871;1289871;633090;4156910;0;0;21463620;0;0;3467500;14600000;124100;3272020;5201;6010;433;3031;2546;1058;1594;0;4964;3646;1318;20206;30314;3005000;216500;-15383749;-15383749;8874
LAP;138781;15474;0;1090;665;4425;3015;261;665;2786563;997500;263366;1525697;0;0;6894900;0;0;1387000;2920000;89725;2498175;3422;4850;0;2440;2410;1084;295;112;3589;1040;2549;14548;58627;2425000;0;-4108337;-4108337;8874
Ethical breeder;288025;39862;1460;0;0;0;0;0;1460;29200000;29200000;0;0;0;4276;14109075;5840000;0;0;3650000;3996750;622325;0;0;0;0;0;0;0;0;0;0;0;622325;0;0;0;15090925;150909.25;8874
Unethical breeder;249100;30131;3924;0;0;0;0;0;3924;201472000;78480000;0;0;122992000;0;107821985;57894000;0;18250000;27375000;3878125;424860;10494;0;0;0;0;0;0;0;0;0;0;424860;0;0;0;93650015;3746000.59999998;8874
AFCD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24660651;0;0;730000;14600000;108525;9222126;5378;14208;4100;5562;4546;0;0;0;4341;1379;2962;0;68126;7104000;2050000;-24660651;-24660651;8874
Other charities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3878;451;5413;2687;1642;0;0;0;0;0;0;8874
