Establishment,Visited,Entered,Bought Cat,Tried to Adopt Cat,Adopted Cat,Bought Stuff,Donated,Surrendered Cat,Cats Sold/Adopted,Total Profit,Profit from Cats,Profit from Stuff,Profit from Donations,Profit from Supplying,Unmet Demand,Total Costs,Breeding Care Costs,Restocking Costs,Total Rent,Misc Operational Costs,Basic Care Cost,Total Vet Cost,Cats Spawned to Abandon,Cats Transferred to Box,Euthanised after Vetting,Remaining Healthy Cats,Remaining Vulnerable Cats,Cats Rejected from Shelter,Cats Claimed from AFCD,Cats Claimed from SPCA,Final Cats in Shelter,Final Healthy Cats,Final Vulnerable Cats,Basic Checkup Cost,Vulnerable Care Cost,Vetting Cost,Euthanasia Cost,Final Net Income,Final Net Income Per Place,Total Cats Killed (everyone)
Pet shop,149619,77848,1290,0,0,22773,0,0,1290,33605214,32250000,1355214,0,0,0,47193270.0,0,10320000,6000000.0,30000000,750000,123270,0,0,0,0,0,0,0,0,0,0,0,123270,0,0,0,-13588056.0,-67940.28,574
SPCA,34845,2962,0,212,125,892,720,64,125,524094,107432,53756,362906,0,0,1770721.0,0,0,285000.0,1200000,9525,276196,444,508,36,238,234,98,105,0,381,266,115,1551,2645,254000,18000,-1246627.0,-1246627.0,574
LAP,11408,1342,0,93,55,397,253,20,55,238256,82500,23433,132323,0,0,517398.0,0,0,114000.0,240000,5225,158173,289,309,0,186,123,71,11,11,209,86,123,844,2829,154500,0,-279142.0,-279142.0,574
Ethical breeder,23822,3275,120,0,0,0,0,0,120,2400000,2400000,0,0,0,386,1159650.0,480000,0,0.0,300000,328500,51150,0,0,0,0,0,0,0,0,0,0,0,51150,0,0,0,1240350.0,12403.500000000005,574
Unethical breeder,20306,2495,318,0,0,0,0,0,318,16680000,6360000,0,0,10320000,0,8927670.0,4824000,0,1500000.0,2250000,318750,34920,0,0,0,0,0,0,0,0,0,0,0,34920,0,0,0,7752330.0,310093.2,574
AFCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853571.0,0,0,60000.0,1200000,7000,586571,907,907,258,397,252,0,0,0,280,103,177,0,4071,453500,129000,-1853571.0,-1853571.0,574
Other charities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,253,43,367,190,106,0,0,0,0,0.0,0.0,574
