Establishment;Visited;Entered;Bought Cat;Tried to Adopt Cat;Adopted Cat;Bought Stuff;Donated;Surrendered Cat;Cats Sold/Adopted;Total Profit;Profit from Cats;Profit from Stuff;Profit from Donations;Profit from Supplying;Unmet Demand;Total Costs;Breeding Care Costs;Restocking Costs;Total Rent;Misc Operational Costs;Basic Care Cost;Total Vet Cost;Cats Spawned to Abandon;Cats Transferred to Box;Euthanised after Vetting;Remaining Healthy Cats;Remaining Vulnerable Cats;Cats Rejected from Shelter;Cats Claimed from AFCD;Cats Claimed from SPCA;Final Cats in Shelter;Final Healthy Cats;Final Vulnerable Cats;Basic Checkup Cost;Vulnerable Care Cost;Vetting Cost;Euthanasia Cost;Final Net Income;Final Net Income Per Place;Total Cats Killed (everyone)
Pet shop;1735628;878259;13237;0;0;258565;0;0;13237;346315800;330925000;15390800;0;0;0;554520785;0;105896000;73000000;365000000;9125000;1499785;0;0;0;0;0;0;0;0;0;0;0;1499785;0;0;0;-208204985;-1041024.925;7874
SPCA;495259;42272;0;3181;1998;12978;10654;699;1998;7802590;1695080;771569;5335941;0;0;21486568;0;0;3467500;14600000;103750;3315318;5224;6101;442;2949;2710;1200;1337;0;4150;2978;1172;16862;26956;3050500;221000;-13683978;-13683978;7874
LAP;169529;18529;0;1383;868;5249;3851;281;868;3525378;1302000;315313;1908065;0;0;6749636;0;0;1387000;2920000;78850;2363786;3395;4605;0;2483;2122;991;268;140;3154;1045;2109;12779;48507;2302500;0;-3224258;-3224258;7874
Ethical breeder;301154;37243;1460;0;0;0;0;0;1460;29200000;29200000;0;0;0;3726;14109075;5840000;0;0;3650000;3996750;622325;0;0;0;0;0;0;0;0;0;0;0;622325;0;0;0;15090925;150909.25;7874
Unethical breeder;218430;26343;3397;0;0;0;0;0;3397;173836000;67940000;0;0;105896000;0;99829985;49902000;0;18250000;27375000;3878125;424860;8487;0;0;0;0;0;0;0;0;0;0;424860;0;0;0;74006015;2960240.59999998;7874
AFCD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23445445;0;0;730000;14600000;97075;8018370;5244;12364;3549;4704;4111;0;0;0;3883;1193;2690;0;61870;6182000;1774500;-23445445;-23445445;7874
Other charities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3327;522;4840;2257;1592;0;0;0;0;0;0;7874
